ESTAÇÃO	CONSTANTE	            H	          GR	REFERENCIADA
30110      L2                  28.05        141.03       S
30110      LAMBD2              1.54         223.60       S
30110      M2                  220.50       200.70       S
30110      M3                  1.40         260.26       S
30110      M4                  7.31         220.47       S
30110      M6                  1.73         271.40       S
30110      MKL6                1.07         189.41       S
30110      MN4                 2.27         213.54       S
30110      MS4                 3.27         264.46       S
30110      MSN2                6.96         35.40        S
30110      MSN6                0.81         239.58       S
30110      MU2                 9.59         290.98       S
30110      N2                  44.52        199.26       S
30110      N4                  1.33         40.46        S
30110      NU2                 8.46         199.45       S
30110      O1                  9.84         212.66       S
30110      P1                  3.09         235.34       S
30110      PI1                 0.18         234.43       S
30110      PSI1                0.07         238.08       S
30110      R2                  0.49         252.03       S
30110      RO1                 0.19         194.87       S
30110      S2                  61.50        250.06       S
30110      SIGMA1              0.30         189.98       S
30110      SL4                 2.76         228.14       S
30110      T2                  3.63         248.08       S
30110      TETA1               0.25         254.68       S
30114      2M2S8               0.54         41.01        S
30114      2MN6                2.59         290.85       S
30114      2MO5                0.88         358.08       S
30114      2MS6                4.39         341.33       S
30114      2N2                 5.51         180.37       S
30114      2SM6                1.24         53.40        S
30114      2SMK7               0.75         88.61        S
30114      3MNS6               0.84         7.40         N
30114      3MS8                0.73         0.77         S
30114      K1                  12.26        255.23       S
30114      K2                  16.25        248.94       S
30114      L2                  16.45        176.92       S
30114      LAMBD2              1.53         225.07       S
30114      M2                  218.72       207.12       S
30114      M3                  2.35         307.75       S
30114      M4                  9.19         239.81       S
30114      M6                  5.02         311.64       S
30114      M8                  0.55         320.94       S
30114      MK3                 4.26         16.26        S
30114      MKL6                0.85         241.09       S
30114      MN4                 3.28         225.12       S
30114      MNO5                0.55         317.31       S
30114      MO3                 2.36         314.60       S
30114      MS4                 6.14         277.20       S
30114      MSF                 11.72        30.38        S
30114      MSK5                0.62         216.63       S
30114      MSN6                1.19         350.90       S
30114      MU2                 10.85        271.59       S
30114      N2                  41.77        193.75       S
30114      NU2                 7.94         195.54       S
30114      O1                  10.90        216.96       S
30114      P1                  4.06         252.36       S
30114      S2                  59.76        245.81       S
30114      SL4                 1.01         234.37       S
30114      T2                  3.53         244.26       S
30120      2MN6                2.20         236.70       S
30120      2MS6                2.70         283.50       S
30120      2N2                 5.10         169.20       S
30120      2Q1                 0.30         184.20       S
30120      2SM2                4.00         17.40        S
30120      2SM6                1.40         3.10         S
30120      FI1                 0.10         238.50       S
30120      J1                  0.80         331.70       S
30120      K1                  9.80         238.50       S
30120      K2                  15.60        232.30       S
30120      L2                  8.30         6.40         S
30120      M1                  0.70         350.40       S
30120      M2                  216.70       196.10       S
30120      M3                  1.80         9.80         S
30120      M4                  9.50         223.50       S
30120      M6                  3.00         258.80       S
30120      MK3                 2.90         325.50       S
30120      MM                  2.10         14.00        S
30120      MN4                 4.00         219.20       S
30120      MO3                 10.60        317.30       S
30120      MS4                 4.90         276.60       S
30120      MSF                 4.50         7.70         S
30120      MSN6                0.30         309.50       S
30120      MU2                 7.40         312.40       S
30120      N2                  38.00        182.60       S
30120      NU2                 7.40         182.60       S
30120      O1                  10.70        216.20       S
30120      OO1                 4.00         239.60       S
30120      P1                  3.30         238.50       S
30120      PI1                 0.20         238.50       S
30120      PSI1                0.10         238.50       S
30120      Q1                  3.00         200.20       S
30120      S2                  57.20        232.30       S
30120      SIGMA1              0.30         184.20       S
30120      SN4                 1.50         88.70        S
30120      T2                  3.40         232.30       S
30140      2MN6                1.10         77.00        S
30140      2MSN8               0.90         342.60       S
30140      2N2                 3.10         121.20       S
30140      2Q1                 0.20         109.70       S
30140      2SM2                1.70         295.80       S
30140      2SM6                2.50         240.10       S
30140      J1                  0.10         199.00       S
30140      K1                  8.40         212.50       S
30140      K2                  10.20        180.00       S
30140      L2                  4.40         163.00       S
30140      M1                  1.10         274.70       S
30140      M2                  112.40       150.80       S
30140      M3                  1.90         216.50       S
30140      M4                  0.40         290.70       S
30140      MK3                 0.90         245.20       S
30140      MM                  7.00         31.60        S
30140      MO3                 1.00         155.80       S
30140      MS4                 2.20         197.00       S
30140      MSF                 5.10         72.80        S
30140      MSN6                3.00         217.50       S
30140      MU2                 5.40         183.80       S
30140      N2                  23.20        136.00       S
30140      NU2                 4.50         136.00       S
30140      O1                  7.60         206.90       S
30140      OO1                 2.40         229.60       S
30140      P1                  2.80         212.50       S
30140      PI1                 0.20         212.50       S
30140      Q1                  1.60         158.30       S
30140      S2                  37.30        180.00       S
30140      SIGMA1              0.20         109.70       S
30140      SK4                 2.80         120.50       S
30140      SN4                 1.10         136.70       S
30140      T2                  2.20         180.00       S
30149      2MK6                0.75         315.45       S
30149      2MKS4               0.57         326.91       S
30149      2MN6                1.76         269.37       S
30149      2MP3                0.55         348.82       S
30149      2MS2N2              1.01         107.41       S
30149      2MS6                3.15         315.30       S
30149      2MST4               0.78         349.25       S
30149      2MTS4               0.53         337.69       S
